编号,要回答的问题,源数据,图型,正文结论,是否必需
F01,问题1：四类典型信号的时域冲击形态是否可直观看到？,冻结代表源文件原始MAT（首1 s，去均值）,4子图时域波形,四类源信号形态存在差异，但波形本身不作为分类真值证明,是
F02,问题1：频谱/包络谱与源域理论故障频率是否具有可核查联系？,同F01原始MAT + 源RPM + SKF6205源域参数,统一频率范围频谱与包络谱,源域OR/IR可对应BPFO/BPFI旁证；B困难样本不强行宣称BSF峰,是
F03,问题1：关键时域/频域/包络特征在四类间如何分布？,Q1C 56文件400窗，按文件取中位数,四组箱线图,多模块特征均提供区分信息；不从单一指标直接定类,是
F04,问题2：最终RF在独立文件上的错分结构和逐类指标怎样？,STEP07最终OOF混淆矩阵+逐类指标,混淆矩阵+Precision/Recall/F1,56文件OOF Macro-F1=0.9393，主要剩余OR/IR→B混淆,是
F05,问题2：RF相对线性基线的改进是否跨工况存在，离散性多大？,STEP07四个留一负载折+STEP12文件bootstrap,折线散点+bootstrap分布,改进主要来自困难0 hp；bootstrap仅作文件级描述性稳健性,是
F06,问题3：最终迁移选择前后源/目标表示如何展示？,Q1C 28维文件中位特征+STEP10预测,同一PCA坐标并排散点,最终选择A0无迁移，因此前后坐标按设计不变；图仅用于展示,是
F07,问题3：候选无监督迁移在可评价模拟目标域上表现怎样？,STEP09模拟目标四负载真实指标,按留出负载分组折线,CORAL负迁移，实例加权无增益，因此A0保留,是
F08,问题3：A-P文件级模型分数和不确定性如何？,STEP10最终A-P表,堆叠分数+margin/entropy,16/16预测OR但分数未校准、熵高且均very-low-trust,是
F09,问题3：低可信目标文件的窗口级输出是否一致但仍低置信？,冻结RF对Q1C目标240窗复算,4个代表文件窗口分数曲线,窗口标签一致不等于真值可靠，概率结构仍显示不确定性,是
F10,问题4：最终RF整体依赖哪些特征？,STEP11 global_rf_feature_importance.csv,Top12水平条形图,包络、冲击幅值与频域特征共同参与；重要度非因果,是
F11,问题4：代表源/目标样本的实际RF决策路径依赖哪些特征？,STEP11 local_path_importance_long.csv,4案例局部Top5条形图,源OR/IR/B与目标A的模型依赖可核查，目标解释不能确认真值,是
F12,问题4：解释是否忠实且局部稳定？,STEP11 faithfulness/stability原始表,忠实性消融+稳定性对照,高贡献特征移除影响大于低/随机；小扰动解释显著比随机对照稳定,是
S01,问题1补充：28维特征是否存在明显冗余相关？,Q1C源域按文件中位数,Spearman相关热力图,用于解释冗余与消融，不用于因果推断,否（补充）
