figure_id,question,section,title_cn,purpose,pre_sentence,post_conclusion,required,insert_width_cm
FIG-Q1-01,Q1,5.1标题下、5.1.1前,问题一数据处理与特征构建技术框架,说明源域筛选、统一时基、切片、公共特征及问题二接口的连续数据流。,问题一先统一源—目标数据口径，再完成物理时间切片与跨域兼容特征构建，整体流程如下。,该流程把独立文件边界贯穿到窗口与特征接口，避免后续模型阶段发生同源窗口泄漏。,True,15.999
FIG-Q1-02,Q1,5.1.2（1）原始信号与典型/困难样本,B类典型与困难样本的时域波形对照,展示困难样本未被删除，并说明仅凭局部冲击外观不足以完成类别判定。,按冻结规则选取B类典型样本与机理证据最弱的困难样本，在相同预处理口径下比较其前0.12 s波形。,困难样本仍呈非平稳冲击与幅值波动，且完整保留进入后续建模，因此图示不构成挑选“漂亮样本”的证据。,True,13.59915
FIG-Q1-03,Q1,5.1.2（4）频域、包络与故障机理证据,B类困难样本的功率谱与包络谱,用同一困难样本对照主信号功率谱与Hilbert包络谱，并标记BSF相关频率。,对困难样本B014_2.mat进一步比较主信号功率谱与无额外带通的Hilbert包络谱。,理论频率附近的谱能量只能作为与滚动体故障机理一致的旁证，不能由单一谱峰直接证明类别。,True,15.999
FIG-Q2-01,Q2,5.2标题下、5.2.1前,问题二源域故障诊断技术框架,说明文件级分组、基线、单因素改进、正交压力测试及最终模型冻结的关系。,问题二始终以原始MAT文件为独立单位，在统一评价协议下由基线失败驱动模型改进与最终定型。,模型改进与验证共享同一文件级边界，最终H1_RF在冻结后再接受跨载荷压力测试。,True,15.999
FIG-Q2-02,Q2,5.2.2（2）基线结果,49个独立源域文件的OOF文件级混淆矩阵,展示基线的OR/IR混淆及N类小样本误判结构。,按四个外层留出折汇总49个独立文件的OOF预测，得到如下文件级混淆矩阵。,主要错误集中在OR与IR互混，且4个N文件中有1个被判为OR，后续改进必须针对文件级失败而非窗口级高分。,True,13.59915
FIG-Q2-03,Q2,5.2.3（2）改进效果,Base与最终RF在四个冻结外层折上的文件级Macro-F1配对对照,逐折展示H1_RF相对Base的改进，同时保留Fold 1退化反例。,H1通过内层门槛后，仅在与Base相同的四个冻结外层测试折上做一次性配对评价。,四折中3折不低于Base，但Fold 1出现−0.0635退化，因此不作“每折均优于”或统计显著表述。,True,13.59915
FIG-Q2-04,Q2,5.2.2（3）误判与困难案例,典型误判文件的窗口级模型分数演化,对照IR007_0.mat与N_0.mat两个真实失败文件，说明误判并非单窗口偶然噪声。,为检查错误是否由单个异常窗口造成，选取冻结的IR→OR与N→OR代表误判文件追踪全部窗口模型分数。,两个案例的错误均跨多数或全部窗口持续存在，表明当前公共特征/边界上存在稳定的文件级误判模式。,True,15.999
FIG-Q3-01,Q3,5.3标题下、5.3.1前,问题三无监督迁移与目标域诊断技术框架,说明域差异诊断、模拟目标域选模、T1冻结、真实A—P传导式适配及稳健性复核接口。,问题三先诊断域偏移，再用可评价的模拟目标域冻结迁移方案，最后对真实A—P执行无标签传导式适配。,真实目标标签始终不进入适配或选模，A—P结果只能作为冻结模型输出并需逐文件报告稳定性。,True,15.999
FIG-Q3-02,Q3,5.3.1（2）特征分布、模型输出与类条件结构,源—目标偏移最显著的8个公共特征,展示域差异首先集中在幅值/尺度特征，并伴随频谱结构偏移。,以独立文件的26维公共特征均值为单位，按标准化绝对均值偏移排序取前8项。,前六项均为幅值/尺度相关量，而频谱平坦度与中频带能量比仍有明显偏移，说明统一采样网格并未消除域差异。,True,15.999
FIG-Q3-03,Q3,5.3.4（3）迁移效果与失败候选,多模拟目标域上的无迁移—候选迁移对照,比较A0、T1、T2、T3在调参模拟域及冻结T1在载荷3留出域的文件级Macro-F1。,在主随机种子下，以相同模拟目标域和文件级评价口径比较无迁移与三类候选迁移方法。,T1与A0在载荷0—3均持平，T2在调参域出现明显负迁移；因此留出域只支持“未退化”，不支持“迁移提高真实目标准确率”。,True,15.999
FIG-Q3-04,Q3,5.3.5（3）低可信案例与机理旁证,A—P源文件Bootstrap标签保持率与目标留一翻转,逐文件展示正式标签对源文件组成的敏感性，并显式标记目标留一时发生翻转的D。,在不改正式标签的前提下，进一步用源文件分层Bootstrap与目标文件留一矩估计检查A—P决策边界。,最低保持率出现在D（0.3833），且D在目标留一时由OR翻为B；因此不能把A—P整体概括为稳定可靠。,True,15.999
FIG-Q4-01,Q4,5.4标题下、5.4.1前,问题四最终诊断链路的可解释性技术框架,说明T1适配输入、冻结RF、特征遮蔽、文件级贡献与三类验证之间的关系。,问题四只解释步骤09/10的最终真实链路，并用同一模型、同一参考值验证解释的忠实性与稳定性。,解释对象始终绑定最终T1+RF链路，解释值只描述模型响应，不升级为物理因果或目标真值。,True,15.999
FIG-Q4-02,Q4,5.4.3 源域已知标签解释案例,源域已知标签案例的Top-5单特征遮蔽贡献,展示四类源域代表及历史困难样本的主要模型响应来源。,对五个预先冻结的源域案例，按单特征遮蔽后的文件级解释类分数下降排序取Top-5。,不同类别依赖的特征结构不同，且历史困难样本继续保留；贡献排序不能被写成因果效应。,True,15.999
FIG-Q4-03,Q4,5.4.4 目标域预测解释,目标域预测案例的Top-5单特征遮蔽贡献,展示稳定预测H/O与不确定案例D/N的主要模型响应来源。,目标域案例仅依据冻结预测稳定性选择，不读取未知真值，并使用与源域相同的遮蔽口径。,D、N即使局部解释排序稳定，其文件级预测仍可能对适配口径或数据组成敏感，解释不能把不稳定预测“解释成正确”。,True,15.999
FIG-Q4-04,Q4,5.4.5 解释验证与矛盾案例,高贡献遮蔽与低贡献/随机对照的忠实性验证,逐案例比较Top-5、Low-5与随机5特征null中位数，验证解释不是任意特征集合都可复制。,九个案例在同一最终模型与参考值下，将Top-5联合遮蔽与Low-5及200组随机5特征子集作对照。,9/9案例通过预冻结忠实性规则，Top-5下降整体高于低贡献与随机对照；该结果验证模型响应忠实性而非物理因果。,True,15.999
