编号,图注
F01,源域OR、IR、B、N代表文件首1 s去均值振动波形。纵轴保留原始数据数值单位；四类颜色在全文固定。
F02,源域代表样本0–6 kHz振动频谱及0–500 Hz包络谱。虚线仅表示源域SKF6205在该文件RPM下的理论BPFO/BPFI/BSF位置，不把单峰存在与否作为硬判据。
F03,源域独立文件级关键特征分布。每个点的基础统计单位是原始MAT文件，窗口仅用于文件内特征估计。
F04,最终随机森林在步骤05冻结的留一负载文件级OOF协议下的混淆矩阵和逐类指标；不是窗口随机划分结果。
F05,Logistic基线与最终Random Forest在四个留一负载测试折上的文件级Macro-F1，以及独立文件分层bootstrap的描述性分布。bootstrap不应解释为高精度总体置信区间。
F06,源域真标签与目标域预测标签在同一PCA坐标中的展示。STEP09最终保留A0无迁移，故前后坐标按设计相同；PCA只用于可视化，不证明目标分类正确。
F07,A0、CORAL与实例加权在源域内部模拟目标（留一负载）上的文件级Macro-F1。CORAL发生负迁移，实例加权无增益。
F08,A–P文件级未校准类别分数及不确定性。16个文件均预测OR且均标记very-low-trust；分数不能当作真实正确概率。
F09,A、B、C、O四个低可信目标文件的15个窗口类别分数轨迹。窗口标签一致反映模型内部稳定，不等价于目标真值正确。
F10,最终Random Forest的全局Gini重要度Top12。重要度描述模型使用程度，不代表物理因果效应。
F11,源OR、源IR、源B和目标A的样本依赖决策路径重要度Top5。源标签已知，目标A仅为预测案例；B案例同时保留BSF机理旁证不稳健的矛盾。
F12,解释忠实性与稳定性验证。高贡献特征遮蔽的输出变化与随机/低贡献对照比较；小扰动解释Spearman相关与随机排列对照比较。
S01,源域28维特征独立文件中位数的Spearman相关热力图，用于观察冗余结构；不作因果解释。
