step_id,run_id,freeze_package_id,status,code_version_id,raw_data_version_id
02-A,run_02-A_20260919T162016957185Z_75708ffe_6f36d0b4,FREEZE-02A-6f36d0b4,passed,git:60d5e453b9e4d007971dac95bf1421d6ff920b67,RAW-5a5dd129c91bfc64
03-A,run_03-A_20260919T164527811276Z_71ebe710_f5307f8f,FREEZE-03A-f5307f8f,passed,git:047e0636f26e00516c56820ae392601395d48ad1,RAW-5a5dd129c91bfc64
04-A,run_04-A_20260919T182731095541Z_8ac2c328_3e3b97c0,FREEZE-04A-3e3b97c0,passed,git:e8d1ed050b609833043653dae736f8d2323e4fbe,RAW-5a5dd129c91bfc64
05-A,run_05-A_20260919T192338074034Z_f82972c7_ba6432cf,FREEZE-05A-ba6432cf,passed,git:263bdfefd85850e7d117889882074373e5caa9db,RAW-5a5dd129c91bfc64
06-A,run_06-A_20260920T035742210347Z_b83cb3a6_01576948,FREEZE-06A-01576948,passed,git:9313b5e5aa5734ef6088626fcad1904bb7ead347,RAW-5a5dd129c91bfc64
07-A,run_07-A_20260920T051657629377Z_59d5a6dd_7e8829fb,FREEZE-07A-7e8829fb,passed,git:2a27ea8b8c684da035a18d1efc8844f1ca224df8,RAW-5a5dd129c91bfc64
08-A,run_08-A_20260920T060936354760Z_049c8ddb_8cd7401f,FREEZE-08A-8cd7401f,passed,git:782c6c8eeedc0ccb285fa02bee6983e8883b72c9,RAW-5a5dd129c91bfc64
09-A,run_09-A_20260920T070725126712Z_6ef81c21_26f99878,FREEZE-09A-26f99878,passed,git:13d8a7411c7330126c4063d38d4d009e4be0f3d2,RAW-5a5dd129c91bfc64
10-A,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31,FREEZE-10A-4346ce31,passed,git:a99bca7d7b7a924487f8cd56cbb60961f53393f0,RAW-5a5dd129c91bfc64
11-A,run_11-A_20260920T151947188398Z_54a3c266_1f812c22,FREEZE-11A-1f812c22,passed,git:06947a0991645b9f92a196dccf952c28ee34ac26,RAW-5a5dd129c91bfc64
12-A1,run_12-A1_20260920T155834545736Z_ea78ae62_5e3e74e2,FREEZE-12A1-5e3e74e2,passed,git:10cc392fdae09c5d7211ac12a6d72a19e56f6b75,RAW-5a5dd129c91bfc64
12-A2,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,FREEZE-12A2-f107c2fa,passed,git:a27d0365fedd88e6d334008efdd4f3fc82c39d74,RAW-5a5dd129c91bfc64
12-B,run_12-B_20260920T170837Z_f107c2fa_9c38c898,,passed,,RAW-5a5dd129c91bfc64
