figure_id,question,source_snapshot,processing,figure_files,body_conclusion,required
F01,问题1：四类典型信号的时域冲击形态是否可直观看到？,outputs/final_figures_step13/source_data/F01_data.csv,programmatic redraw from frozen data; no screenshot/old figure reuse,outputs/final_figures_step13/figures/F01_representative_waveforms.png;outputs/final_figures_step13/figures/F01_representative_waveforms.pdf;outputs/final_figures_step13/figures/F01_representative_waveforms.svg;outputs/final_figures_step13/figures_bw/F01_representative_waveforms_bw.png,四类源信号形态存在差异，但波形本身不作为分类真值证明,是
F02,问题1：频谱/包络谱与源域理论故障频率是否具有可核查联系？,outputs/final_figures_step13/source_data/F02_data.csv,programmatic redraw from frozen data; no screenshot/old figure reuse,outputs/final_figures_step13/figures/F02_spectrum_envelope.png;outputs/final_figures_step13/figures/F02_spectrum_envelope.pdf;outputs/final_figures_step13/figures/F02_spectrum_envelope.svg;outputs/final_figures_step13/figures_bw/F02_spectrum_envelope_bw.png,源域OR/IR可对应BPFO/BPFI旁证；B困难样本不强行宣称BSF峰,是
F03,问题1：关键时域/频域/包络特征在四类间如何分布？,outputs/final_figures_step13/source_data/F03_data.csv,programmatic redraw from frozen data; no screenshot/old figure reuse,outputs/final_figures_step13/figures/F03_key_feature_distributions.png;outputs/final_figures_step13/figures/F03_key_feature_distributions.pdf;outputs/final_figures_step13/figures/F03_key_feature_distributions.svg;outputs/final_figures_step13/figures_bw/F03_key_feature_distributions_bw.png,多模块特征均提供区分信息；不从单一指标直接定类,是
F04,问题2：最终RF在独立文件上的错分结构和逐类指标怎样？,outputs/final_figures_step13/source_data/F04_data.csv,programmatic redraw from frozen data; no screenshot/old figure reuse,outputs/final_figures_step13/figures/F04_q2_confusion_class_metrics.png;outputs/final_figures_step13/figures/F04_q2_confusion_class_metrics.pdf;outputs/final_figures_step13/figures/F04_q2_confusion_class_metrics.svg;outputs/final_figures_step13/figures_bw/F04_q2_confusion_class_metrics_bw.png,56文件OOF Macro-F1=0.9393，主要剩余OR/IR→B混淆,是
F05,问题2：RF相对线性基线的改进是否跨工况存在，离散性多大？,outputs/final_figures_step13/source_data/F05_data.csv,programmatic redraw from frozen data; no screenshot/old figure reuse,outputs/final_figures_step13/figures/F05_q2_model_comparison_robustness.png;outputs/final_figures_step13/figures/F05_q2_model_comparison_robustness.pdf;outputs/final_figures_step13/figures/F05_q2_model_comparison_robustness.svg;outputs/final_figures_step13/figures_bw/F05_q2_model_comparison_robustness_bw.png,改进主要来自困难0 hp；bootstrap仅作文件级描述性稳健性,是
F06,问题3：最终迁移选择前后源/目标表示如何展示？,outputs/final_figures_step13/source_data/F06_data.csv,programmatic redraw from frozen data; no screenshot/old figure reuse,outputs/final_figures_step13/figures/F06_q3_embedding_before_after.png;outputs/final_figures_step13/figures/F06_q3_embedding_before_after.pdf;outputs/final_figures_step13/figures/F06_q3_embedding_before_after.svg;outputs/final_figures_step13/figures_bw/F06_q3_embedding_before_after_bw.png,最终选择A0无迁移，因此前后坐标按设计不变；图仅用于展示,是
F07,问题3：候选无监督迁移在可评价模拟目标域上表现怎样？,outputs/final_figures_step13/source_data/F07_data.csv,programmatic redraw from frozen data; no screenshot/old figure reuse,outputs/final_figures_step13/figures/F07_q3_simulated_transfer_performance.png;outputs/final_figures_step13/figures/F07_q3_simulated_transfer_performance.pdf;outputs/final_figures_step13/figures/F07_q3_simulated_transfer_performance.svg;outputs/final_figures_step13/figures_bw/F07_q3_simulated_transfer_performance_bw.png,CORAL负迁移，实例加权无增益，因此A0保留,是
F08,问题3：A-P文件级模型分数和不确定性如何？,outputs/final_figures_step13/source_data/F08_data.csv,programmatic redraw from frozen data; no screenshot/old figure reuse,outputs/final_figures_step13/figures/F08_q3_target_scores_uncertainty.png;outputs/final_figures_step13/figures/F08_q3_target_scores_uncertainty.pdf;outputs/final_figures_step13/figures/F08_q3_target_scores_uncertainty.svg;outputs/final_figures_step13/figures_bw/F08_q3_target_scores_uncertainty_bw.png,16/16预测OR但分数未校准、熵高且均very-low-trust,是
F09,问题3：低可信目标文件的窗口级输出是否一致但仍低置信？,outputs/final_figures_step13/source_data/F09_data.csv,programmatic redraw from frozen data; no screenshot/old figure reuse,outputs/final_figures_step13/figures/F09_q3_low_trust_window_scores.png;outputs/final_figures_step13/figures/F09_q3_low_trust_window_scores.pdf;outputs/final_figures_step13/figures/F09_q3_low_trust_window_scores.svg;outputs/final_figures_step13/figures_bw/F09_q3_low_trust_window_scores_bw.png,窗口标签一致不等于真值可靠，概率结构仍显示不确定性,是
F10,问题4：最终RF整体依赖哪些特征？,outputs/final_figures_step13/source_data/F10_data.csv,programmatic redraw from frozen data; no screenshot/old figure reuse,outputs/final_figures_step13/figures/F10_q4_global_feature_importance.png;outputs/final_figures_step13/figures/F10_q4_global_feature_importance.pdf;outputs/final_figures_step13/figures/F10_q4_global_feature_importance.svg;outputs/final_figures_step13/figures_bw/F10_q4_global_feature_importance_bw.png,包络、冲击幅值与频域特征共同参与；重要度非因果,是
F11,问题4：代表源/目标样本的实际RF决策路径依赖哪些特征？,outputs/final_figures_step13/source_data/F11_data.csv,programmatic redraw from frozen data; no screenshot/old figure reuse,outputs/final_figures_step13/figures/F11_q4_local_explanations.png;outputs/final_figures_step13/figures/F11_q4_local_explanations.pdf;outputs/final_figures_step13/figures/F11_q4_local_explanations.svg;outputs/final_figures_step13/figures_bw/F11_q4_local_explanations_bw.png,源OR/IR/B与目标A的模型依赖可核查，目标解释不能确认真值,是
F12,问题4：解释是否忠实且局部稳定？,outputs/final_figures_step13/source_data/F12_data.csv,programmatic redraw from frozen data; no screenshot/old figure reuse,outputs/final_figures_step13/figures/F12_q4_faithfulness_stability.png;outputs/final_figures_step13/figures/F12_q4_faithfulness_stability.pdf;outputs/final_figures_step13/figures/F12_q4_faithfulness_stability.svg;outputs/final_figures_step13/figures_bw/F12_q4_faithfulness_stability_bw.png,高贡献特征移除影响大于低/随机；小扰动解释显著比随机对照稳定,是
S01,问题1补充：28维特征是否存在明显冗余相关？,outputs/final_figures_step13/source_data/S01_data.csv,programmatic redraw from frozen data; no screenshot/old figure reuse,outputs/final_figures_step13/figures/S01_feature_correlation.png;outputs/final_figures_step13/figures/S01_feature_correlation.pdf;outputs/final_figures_step13/figures/S01_feature_correlation.svg;outputs/final_figures_step13/figures_bw/S01_feature_correlation_bw.png,用于解释冗余与消融，不用于因果推断,否（补充）
