result_id,result_type,result_value,final_data_lineage_id,final_code_bundle_id,script_or_source,run_id,model_artifact_id,paper_conclusion
Q1-N-SRC,core_number,49.0,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/04A/latest_freeze_package.json,run_04-A_20260919T182731095541Z_8ac2c328_3e3b97c0,,冻结源MVP样本口径
Q1-N-TGT,core_number,16.0,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/04A/latest_freeze_package.json,run_04-A_20260919T182731095541Z_8ac2c328_3e3b97c0,,目标域A-P口径
Q1-W-SRC,core_number,733.0,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/04A/latest_freeze_package.json,run_04-A_20260919T182731095541Z_8ac2c328_3e3b97c0,,1s/50%冻结主配置产生733窗
Q1-W-TGT,core_number,240.0,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/04A/latest_freeze_package.json,run_04-A_20260919T182731095541Z_8ac2c328_3e3b97c0,,15窗/文件，共240窗
Q1-FEAT,core_number,26.0,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/04A/latest_freeze_package.json,run_04-A_20260919T182731095541Z_8ac2c328_3e3b97c0,,最终公共输入26维
Q1-WIN-MIN,core_number,0.9508739837398374,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/12A2/latest_freeze_package.json,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-SOURCE-4ee408ac96054e3b,合理窗口设置下结论未翻转
Q1-WIN-MAX,core_number,0.9672619047619048,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/12A2/latest_freeze_package.json,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-SOURCE-4ee408ac96054e3b,不据此宣称1s/50%最优
Q2-BASE,core_number,0.8184523809523809,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/06A/latest_freeze_package.json,run_06-A_20260920T035742210347Z_b83cb3a6_01576948,,LR基线
Q2-DEV,core_number,0.9675,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/12A1/latest_freeze_package.json,run_12-A1_20260920T155834545736Z_ea78ae62_5e3e74e2,MODEL-SOURCE-4ee408ac96054e3b,开发阶段配对OOF，不称完全独立终测
Q2-ORTHO,core_number,0.9508739837398374,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/12A2/latest_freeze_package.json,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-SOURCE-4ee408ac96054e3b,P0-01关闭的独立跨载荷证据
Q2-MINREC,core_number,0.9047619047619048,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/12A2/latest_freeze_package.json,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-SOURCE-4ee408ac96054e3b,最低逐类召回
Q2-TREES,core_number,300.0,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/07A/latest_freeze_package.json,run_07-A_20260920T051657629377Z_59d5a6dd_7e8829fb,MODEL-SOURCE-4ee408ac96054e3b,最终模型参数
Q2-DEPTH,core_number,8.0,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/07A/latest_freeze_package.json,run_07-A_20260920T051657629377Z_59d5a6dd_7e8829fb,MODEL-SOURCE-4ee408ac96054e3b,最终模型参数
Q3-MMD,core_number,0.7922234132610413,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/08A/latest_freeze_package.json,run_08-A_20260920T060936354760Z_049c8ddb_8cd7401f,MODEL-SOURCE-4ee408ac96054e3b,域差异证据，不是准确率
Q3-ALPHA,core_number,0.25,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/09A/latest_freeze_package.json,run_09-A_20260920T070725126712Z_6ef81c21_26f99878,MODEL-TRANSFER-82c6b6ba4d2dd557,最终迁移参数
Q3-PSEUDO-GAIN,core_number,0.0,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/09A/latest_freeze_package.json,run_09-A_20260920T070725126712Z_6ef81c21_26f99878,MODEL-TRANSFER-82c6b6ba4d2dd557,无正增益亦无退化
Q3-LOTO,core_number,0.9375,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/12A2/latest_freeze_package.json,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,15/16保持，D翻类
Q3-BOOT,core_number,0.38333333333333336,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/12A2/latest_freeze_package.json,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,最低D=0.3833，不能概括整体稳定
Q4-FAITH,core_number,0.44884402757514785,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/11A/latest_freeze_package.json,run_11-A_20260920T151947188398Z_54a3c266_1f812c22,MODEL-TRANSFER-82c6b6ba4d2dd557,忠实性证据，不是因果效应
Q4-SPEAR,core_number,0.9761823248143944,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/11A/latest_freeze_package.json,run_11-A_20260920T151947188398Z_54a3c266_1f812c22,MODEL-TRANSFER-82c6b6ba4d2dd557,解释稳定性
Q4-JACC,core_number,1.0,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/11A/latest_freeze_package.json,run_11-A_20260920T151947188398Z_54a3c266_1f812c22,MODEL-TRANSFER-82c6b6ba4d2dd557,解释稳定性
Q4-MECH,core_number,0.6,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/11A/latest_freeze_package.json,run_11-A_20260920T151947188398Z_54a3c266_1f812c22,MODEL-TRANSFER-82c6b6ba4d2dd557,机理一致性仅为旁证
ALL-REEX,core_number,4.547473508864641e-13,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,protocol/12A2/latest_freeze_package.json,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,,公式—代码—单位核对通过
AP-A,target_prediction,OR,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,A final predicted label=OR; truth unknown; score uncalibrated; uncertainty=low_trust
AP-B,target_prediction,B,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,B final predicted label=B; truth unknown; score uncalibrated; uncertainty=low_trust
AP-C,target_prediction,OR,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,C final predicted label=OR; truth unknown; score uncalibrated; uncertainty=very_low_trust
AP-D,target_prediction,OR,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,D final predicted label=OR; truth unknown; score uncalibrated; uncertainty=very_low_trust
AP-E,target_prediction,B,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,E final predicted label=B; truth unknown; score uncalibrated; uncertainty=low_trust
AP-F,target_prediction,OR,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,F final predicted label=OR; truth unknown; score uncalibrated; uncertainty=low_trust
AP-G,target_prediction,B,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,G final predicted label=B; truth unknown; score uncalibrated; uncertainty=low_trust
AP-H,target_prediction,OR,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,H final predicted label=OR; truth unknown; score uncalibrated; uncertainty=watch
AP-I,target_prediction,B,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,I final predicted label=B; truth unknown; score uncalibrated; uncertainty=low_trust
AP-J,target_prediction,B,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,J final predicted label=B; truth unknown; score uncalibrated; uncertainty=very_low_trust
AP-K,target_prediction,OR,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,K final predicted label=OR; truth unknown; score uncalibrated; uncertainty=watch
AP-L,target_prediction,B,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,L final predicted label=B; truth unknown; score uncalibrated; uncertainty=very_low_trust
AP-M,target_prediction,OR,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,M final predicted label=OR; truth unknown; score uncalibrated; uncertainty=watch
AP-N,target_prediction,OR,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,N final predicted label=OR; truth unknown; score uncalibrated; uncertainty=very_low_trust
AP-O,target_prediction,B,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,O final predicted label=B; truth unknown; score uncalibrated; uncertainty=low_trust
AP-P,target_prediction,B,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,scripts/step10a_final_labels_and_display.py + scripts/step12a2_gap_validations.py,run_10-A_20260920T085322828930Z_bcbb6757_4346ce31 + run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,MODEL-TRANSFER-82c6b6ba4d2dd557,P final predicted label=B; truth unknown; score uncalibrated; uncertainty=low_trust
