figure_id,question,section,kind,title_cn,purpose,pre_sentence,post_conclusion,required,layout,width_class,sample_scope,units,x_label_cn,y_label_cn,legend_cn,caption_key,insert_width_cm,source_snapshot_files,renderer_entry,coordinate_limits_json
FIG-Q1-01,Q1,5.1标题下、5.1.1前,技术框架图,问题一数据处理与特征构建技术框架,说明源域筛选、统一时基、切片、公共特征及问题二接口的连续数据流。,问题一先统一源—目标数据口径，再完成物理时间切片与跨域兼容特征构建，整体流程如下。,该流程把独立文件边界贯穿到窗口与特征接口，避免后续模型阶段发生同源窗口泄漏。,True,single_flow,full,源域49文件、目标域16文件；733/240窗口；26维公共特征,文件/窗口/特征维数,,,,输入→核心模块→输出/接口；不展示装饰性状态框。,15.999,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q1-01.json,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q1-01,"{""canvas_x"": [0, 1], ""canvas_y"": [0, 1], ""scale"": ""normalized""}"
FIG-Q1-02,Q1,5.1.2（1）原始信号与典型/困难样本,数据特征图,B类典型与困难样本的时域波形对照,展示困难样本未被删除，并说明仅凭局部冲击外观不足以完成类别判定。,按冻结规则选取B类典型样本与机理证据最弱的困难样本，在相同预处理口径下比较其前0.12 s波形。,困难样本仍呈非平稳冲击与幅值波动，且完整保留进入后续建模，因此图示不构成挑选“漂亮样本”的证据。,True,single_axes_two_series,medium,B021_3.mat与B014_2.mat，primary_processed，0—0.12 s,时间/s；原始幅值单位,时间 / s,振动幅值,典型样本；困难样本,同类典型—困难样本，统一纵轴。,13.59915,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q1-02.csv,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q1-02,"{""x"": [0.0, 0.12], ""y"": [-0.9708610169318184, 0.9708610169318184], ""scale"": ""linear""}"
FIG-Q1-03,Q1,5.1.2（4）频域、包络与故障机理证据,数据特征图,B类困难样本的功率谱与包络谱,用同一困难样本对照主信号功率谱与Hilbert包络谱，并标记BSF相关频率。,对困难样本B014_2.mat进一步比较主信号功率谱与无额外带通的Hilbert包络谱。,理论频率附近的谱能量只能作为与滚动体故障机理一致的旁证，不能由单一谱峰直接证明类别。,True,two_vertical_subplots_same_object,full,B014_2.mat；0—500 Hz；主信号PSD与包络PSD,频率/Hz；功率谱密度,频率 / Hz,功率谱密度,主信号；Hilbert包络；BSF及谐波/侧带,允许(a)(b)，因为同一对象、同一序列的强关联对照。,15.999,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q1-03.csv;outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q1-03_markers.csv,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q1-03,"{""x"": [0.0, 500.0], ""scale"": ""log_y"", ""y_by_view"": {""Hilbert包络谱"": [6.1332588249841396e-06, 0.00485953669373256], ""主信号功率谱"": [2.4732348222087445e-10, 0.00010354372361407543]}}"
FIG-Q2-01,Q2,5.2标题下、5.2.1前,技术框架图,问题二源域故障诊断技术框架,说明文件级分组、基线、单因素改进、正交压力测试及最终模型冻结的关系。,问题二始终以原始MAT文件为独立单位，在统一评价协议下由基线失败驱动模型改进与最终定型。,模型改进与验证共享同一文件级边界，最终H1_RF在冻结后再接受跨载荷压力测试。,True,single_flow,full,49个独立源文件；26维公共特征；4外层×3内层分组；固定H1_RF,文件；Macro-F1；树/深度,,,,输入→分组验证→基线/改进→冻结模型→正交验证。,15.999,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q2-01.json,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q2-01,"{""canvas_x"": [0, 1], ""canvas_y"": [0, 1], ""scale"": ""normalized""}"
FIG-Q2-02,Q2,5.2.2（2）基线结果,结果对比图,49个独立源域文件的OOF文件级混淆矩阵,展示基线的OR/IR混淆及N类小样本误判结构。,按四个外层留出折汇总49个独立文件的OOF预测，得到如下文件级混淆矩阵。,主要错误集中在OR与IR互混，且4个N文件中有1个被判为OR，后续改进必须针对文件级失败而非窗口级高分。,True,single_heatmap,medium,49个独立源域文件OOF预测,文件数,预测类别,真实类别,文件数,固定类序OR、IR、B、N；整数标注。,13.59915,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q2-02.csv,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q2-02,"{""color"": [0, 15.0], ""scale"": ""integer_counts""}"
FIG-Q2-03,Q2,5.2.3（2）改进效果,结果对比图,Base与最终RF在四个冻结外层折上的文件级Macro-F1配对对照,逐折展示H1_RF相对Base的改进，同时保留Fold 1退化反例。,H1通过内层门槛后，仅在与Base相同的四个冻结外层测试折上做一次性配对评价。,四折中3折不低于Base，但Fold 1出现−0.0635退化，因此不作“每折均优于”或统计显著表述。,True,single_paired_plot,medium,4个冻结外层折；Base LR与H1_RF,Macro-F1,外层折,文件级 Macro-F1,Base逻辑回归；最终随机森林,保留负向配对线。,13.59915,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q2-03.csv,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q2-03,"{""x"": [-0.3, 3.3], ""y"": [0.0, 1.0], ""scale"": ""linear""}"
FIG-Q2-04,Q2,5.2.2（3）误判与困难案例,失败案例图,典型误判文件的窗口级模型分数演化,对照IR007_0.mat与N_0.mat两个真实失败文件，说明误判并非单窗口偶然噪声。,为检查错误是否由单个异常窗口造成，选取冻结的IR→OR与N→OR代表误判文件追踪全部窗口模型分数。,两个案例的错误均跨多数或全部窗口持续存在，表明当前公共特征/边界上存在稳定的文件级误判模式。,True,two_vertical_subplots_same_failure_experiment,full,IR007_0.mat全部15窗；N_0.mat全部9窗,窗口起始时间/s；未校准模型分数,窗口起始时间 / s,模型分数,OR；IR；B；N,允许(a)(b)，因为同一基线实验、同一失败分析口径。,15.999,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q2-04.csv,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q2-04,"{""x"": [0.0, 7.0], ""y"": [0.0, 1.0], ""scale"": ""linear""}"
FIG-Q3-01,Q3,5.3标题下、5.3.1前,技术框架图,问题三无监督迁移与目标域诊断技术框架,说明域差异诊断、模拟目标域选模、T1冻结、真实A—P传导式适配及稳健性复核接口。,问题三先诊断域偏移，再用可评价的模拟目标域冻结迁移方案，最后对真实A—P执行无标签传导式适配。,真实目标标签始终不进入适配或选模，A—P结果只能作为冻结模型输出并需逐文件报告稳定性。,True,single_flow,full,49源文件、16目标文件；T1 α=0.25；A—P 16文件,MMD²；Macro-F1；标签保持率,,,,突出模拟域与真实无标签目标域之间的隔离。,15.999,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q3-01.json,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q3-01,"{""canvas_x"": [0, 1], ""canvas_y"": [0, 1], ""scale"": ""normalized""}"
FIG-Q3-02,Q3,5.3.1（2）特征分布、模型输出与类条件结构,数据特征图,源—目标偏移最显著的8个公共特征,展示域差异首先集中在幅值/尺度特征，并伴随频谱结构偏移。,以独立文件的26维公共特征均值为单位，按标准化绝对均值偏移排序取前8项。,前六项均为幅值/尺度相关量，而频谱平坦度与中频带能量比仍有明显偏移，说明统一采样网格并未消除域差异。,True,single_horizontal_bar,full,49个源文件均值与16个目标文件均值；26维公共特征中前8项,标准化绝对均值偏移/源域标准差,标准化绝对均值偏移,公共特征,幅值/尺度；几何无关机理代理,不把MMD/AUC或该偏移解释为目标准确率。,15.999,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q3-02.csv,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q3-02,"{""x"": [0.0, 39.697010070518004], ""scale"": ""linear""}"
FIG-Q3-03,Q3,5.3.4（3）迁移效果与失败候选,结果对比图,多模拟目标域上的无迁移—候选迁移对照,比较A0、T1、T2、T3在调参模拟域及冻结T1在载荷3留出域的文件级Macro-F1。,在主随机种子下，以相同模拟目标域和文件级评价口径比较无迁移与三类候选迁移方法。,T1与A0在载荷0—3均持平，T2在调参域出现明显负迁移；因此留出域只支持“未退化”，不支持“迁移提高真实目标准确率”。,True,single_axes_multiseries,full,载荷0/1/2调参域；载荷3一次性留出验证；seed=20260919,文件级 Macro-F1,模拟目标载荷 / hp,文件级 Macro-F1,无迁移A0；T1位置—尺度对齐；T2 CORAL；T3源实例加权,T2/T3只画其实际被评价的载荷，禁止外推到载荷3。,15.999,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q3-03.csv,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q3-03,"{""x"": [-0.2, 3.2], ""y"": [0.0, 1.0], ""scale"": ""linear""}"
FIG-Q3-04,Q3,5.3.5（3）低可信案例与机理旁证,稳健性/敏感性图,A—P源文件Bootstrap标签保持率与目标留一翻转,逐文件展示正式标签对源文件组成的敏感性，并显式标记目标留一时发生翻转的D。,在不改正式标签的前提下，进一步用源文件分层Bootstrap与目标文件留一矩估计检查A—P决策边界。,最低保持率出现在D（0.3833），且D在目标留一时由OR翻为B；因此不能把A—P整体概括为稳定可靠。,True,single_bar_with_failure_marker,full,16个目标文件×120次源文件Bootstrap；逐文件目标留一,标签保持率,目标文件,正式标签保持率,Bootstrap保持率；目标留一翻转,固定纵轴0—1；困难文件不得隐藏。,15.999,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q3-04.csv,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q3-04,"{""x_categories"": ""A-P"", ""y"": [0.0, 1.0], ""scale"": ""linear""}"
FIG-Q4-01,Q4,5.4标题下、5.4.1前,技术框架图,问题四最终诊断链路的可解释性技术框架,说明T1适配输入、冻结RF、特征遮蔽、文件级贡献与三类验证之间的关系。,问题四只解释步骤09/10的最终真实链路，并用同一模型、同一参考值验证解释的忠实性与稳定性。,解释对象始终绑定最终T1+RF链路，解释值只描述模型响应，不升级为物理因果或目标真值。,True,single_flow,full,最终T1(α=0.25)+H1_RF；26维公共特征；9个冻结解释案例,模型分数下降；Spearman；Jaccard,,,,输入→遮蔽解释→案例→忠实性/稳定性/机理旁证。,15.999,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q4-01.json,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q4-01,"{""canvas_x"": [0, 1], ""canvas_y"": [0, 1], ""scale"": ""normalized""}"
FIG-Q4-02,Q4,5.4.3 源域已知标签解释案例,结果解释图,源域已知标签案例的Top-5单特征遮蔽贡献,展示四类源域代表及历史困难样本的主要模型响应来源。,对五个预先冻结的源域案例，按单特征遮蔽后的文件级解释类分数下降排序取Top-5。,不同类别依赖的特征结构不同，且历史困难样本继续保留；贡献排序不能被写成因果效应。,True,single_ranked_dot_or_bar,full,4个源域正确代表+1个历史OOF困难案例；每例Top-5,未校准模型分数下降,遮蔽后模型分数下降,案例与特征,源域案例,按案例分组排列，不做卡片式小面板。,15.999,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q4-02.csv,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q4-02,"{""x"": [0.0, 0.25339999999999974], ""scale"": ""linear""}"
