figure_id,figure_number_placeholder,question,section,title_cn,kind,layout,insert_width_cm,png_dpi_nominal,effective_png_dpi,effective_min_font_pt,font,png_path,svg_path,pdf_path,source_snapshot_files,renderer_script,chinese_plan_pass,visual_encoding_pass,readability_pass,editable_vector_pass,status,failure_reason
FIG-Q1-01,图Q1-01,Q1,5.1标题下、5.1.1前,问题一数据处理与特征构建技术框架,技术框架图,single_flow,15.999,450,438.02,8.42,Noto Sans CJK JP,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q1-01.png,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q1-01.svg,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q1-01.pdf,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q1-01.json,scripts/step13b1_final_figure_renderer.py,true,true,true,true,passed,
FIG-Q1-02,图Q1-02,Q1,5.1.2（1）原始信号与典型/困难样本,B类典型与困难样本的时域波形对照,数据特征图,single_axes_two_series,13.59915,450,438.18,9.24,Noto Sans CJK JP,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q1-02.png,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q1-02.svg,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q1-02.pdf,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q1-02.csv,scripts/step13b1_final_figure_renderer.py,true,true,true,true,passed,
FIG-Q1-03,图Q1-03,Q1,5.1.2（4）频域、包络与故障机理证据,B类困难样本的功率谱与包络谱,数据特征图,two_vertical_subplots_same_object,15.999,450,438.81,9.2,Noto Sans CJK JP,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q1-03.png,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q1-03.svg,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q1-03.pdf,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q1-03.csv;outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q1-03_markers.csv,scripts/step13b1_final_figure_renderer.py,true,true,true,true,passed,
FIG-Q2-01,图Q2-01,Q2,5.2标题下、5.2.1前,问题二源域故障诊断技术框架,技术框架图,single_flow,15.999,450,434.37,8.49,Noto Sans CJK JP,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q2-01.png,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q2-01.svg,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q2-01.pdf,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q2-01.json,scripts/step13b1_final_figure_renderer.py,true,true,true,true,passed,
FIG-Q2-02,图Q2-02,Q2,5.2.2（2）基线结果,49个独立源域文件的OOF文件级混淆矩阵,结果对比图,single_heatmap,13.59915,450,272.69,14.87,Noto Sans CJK JP,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q2-02.png,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q2-02.svg,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q2-02.pdf,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q2-02.csv,scripts/step13b1_final_figure_renderer.py,true,true,false,false,failed,svg_not_text_editable_or_embeds_raster;effective_png_dpi=272.7
FIG-Q2-03,图Q2-03,Q2,5.2.3（2）改进效果,Base与最终RF在四个冻结外层折上的文件级Macro-F1配对对照,结果对比图,single_paired_plot,13.59915,450,438.36,9.24,Noto Sans CJK JP,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q2-03.png,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q2-03.svg,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q2-03.pdf,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q2-03.csv,scripts/step13b1_final_figure_renderer.py,true,true,true,true,passed,
FIG-Q2-04,图Q2-04,Q2,5.2.2（3）误判与困难案例,典型误判文件的窗口级模型分数演化,失败案例图,two_vertical_subplots_same_failure_experiment,15.999,450,440.08,9.2,Noto Sans CJK JP,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q2-04.png,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q2-04.svg,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q2-04.pdf,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q2-04.csv,scripts/step13b1_final_figure_renderer.py,true,true,true,true,passed,
FIG-Q3-01,图Q3-01,Q3,5.3标题下、5.3.1前,问题三无监督迁移与目标域诊断技术框架,技术框架图,single_flow,15.999,450,435.32,8.48,Noto Sans CJK JP,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q3-01.png,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q3-01.svg,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q3-01.pdf,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q3-01.json,scripts/step13b1_final_figure_renderer.py,true,true,true,true,passed,
FIG-Q3-02,图Q3-02,Q3,5.3.1（2）特征分布、模型输出与类条件结构,源—目标偏移最显著的8个公共特征,数据特征图,single_horizontal_bar,15.999,450,439.76,9.2,Noto Sans CJK JP,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q3-02.png,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q3-02.svg,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q3-02.pdf,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q3-02.csv,scripts/step13b1_final_figure_renderer.py,true,true,true,true,passed,
FIG-Q3-03,图Q3-03,Q3,5.3.4（3）迁移效果与失败候选,多模拟目标域上的无迁移—候选迁移对照,结果对比图,single_axes_multiseries,15.999,450,440.08,9.2,Noto Sans CJK JP,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q3-03.png,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q3-03.svg,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q3-03.pdf,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q3-03.csv,scripts/step13b1_final_figure_renderer.py,true,true,true,true,passed,
FIG-Q3-04,图Q3-04,Q3,5.3.5（3）低可信案例与机理旁证,A—P源文件Bootstrap标签保持率与目标留一翻转,稳健性/敏感性图,single_bar_with_failure_marker,15.999,450,440.08,9.2,Noto Sans CJK JP,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q3-04.png,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q3-04.svg,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q3-04.pdf,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q3-04.csv,scripts/step13b1_final_figure_renderer.py,true,true,true,true,passed,
FIG-Q4-01,图Q4-01,Q4,5.4标题下、5.4.1前,问题四最终诊断链路的可解释性技术框架,技术框架图,single_flow,15.999,450,437.7,8.43,Noto Sans CJK JP,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q4-01.png,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q4-01.svg,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q4-01.pdf,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q4-01.json,scripts/step13b1_final_figure_renderer.py,true,true,true,true,passed,
FIG-Q4-02,图Q4-02,Q4,5.4.3 源域已知标签解释案例,源域已知标签案例的Top-5单特征遮蔽贡献,结果解释图,single_ranked_dot_or_bar,15.999,450,395.63,7.95,Noto Sans CJK JP,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q4-02.png,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q4-02.svg,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q4-02.pdf,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q4-02.csv,scripts/step13b1_final_figure_renderer.py,true,true,true,true,passed,
FIG-Q4-03,图Q4-03,Q4,5.4.4 目标域预测解释,目标域预测案例的Top-5单特征遮蔽贡献,结果解释图,single_ranked_dot_or_bar,15.999,450,391.98,8.03,Noto Sans CJK JP,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q4-03.png,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q4-03.svg,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q4-03.pdf,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q4-03.csv,scripts/step13b1_final_figure_renderer.py,true,true,true,true,passed,
FIG-Q4-04,图Q4-04,Q4,5.4.5 解释验证与矛盾案例,高贡献遮蔽与低贡献/随机对照的忠实性验证,稳健性/敏感性图,single_grouped_dot_plot,15.999,450,440.08,8.18,Noto Sans CJK JP,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q4-04.png,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q4-04.svg,outputs/runs/run_13-B1_20260920T175357679755Z_902d55df_90264cb7/artifacts/final_figure_package/figures/FIG-Q4-04.pdf,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q4-04.csv,scripts/step13b1_final_figure_renderer.py,true,true,true,true,passed,
