feature_name,group,scope,definition,formula,unit,zero_denominator_guard,missing_rule,parameters,parameter_source,q2_default_feature
td_rms,time,source_and_target,demeaned RMS,sqrt(mean(x^2)),signal unit,eps=1e-12 where denominator exists,raise on non-finite raw signal,x is demeaned only,STEP03 preprocessing policy,True
td_std,time,source_and_target,demeaned population standard deviation,std(x),signal unit,eps=1e-12 where denominator exists,raise on non-finite raw signal,x is demeaned only,STEP03 preprocessing policy,True
td_peak_abs,time,source_and_target,maximum absolute amplitude,max(|x|),signal unit,eps=1e-12 where denominator exists,raise on non-finite raw signal,x is demeaned only,STEP03 preprocessing policy,True
td_ptp,time,source_and_target,peak-to-peak amplitude,max(x)-min(x),signal unit,eps=1e-12 where denominator exists,raise on non-finite raw signal,x is demeaned only,STEP03 preprocessing policy,True
td_skewness,time,source_and_target,sample skewness,E[(x-mu)^3]/sigma^3 with bias correction,dimensionless,eps=1e-12 where denominator exists,raise on non-finite raw signal,x is demeaned only,STEP03 preprocessing policy,True
td_kurtosis,time,source_and_target,Pearson kurtosis,E[(x-mu)^4]/sigma^4 with bias correction,dimensionless,eps=1e-12 where denominator exists,raise on non-finite raw signal,x is demeaned only,STEP03 preprocessing policy,True
td_crest_factor,time,source_and_target,crest factor,max(|x|)/(RMS+eps),dimensionless,eps=1e-12 where denominator exists,raise on non-finite raw signal,x is demeaned only,STEP03 preprocessing policy,True
td_impulse_factor,time,source_and_target,impulse factor,max(|x|)/(mean(|x|)+eps),dimensionless,eps=1e-12 where denominator exists,raise on non-finite raw signal,x is demeaned only,STEP03 preprocessing policy,True
td_shape_factor,time,source_and_target,shape factor,RMS/(mean(|x|)+eps),dimensionless,eps=1e-12 where denominator exists,raise on non-finite raw signal,x is demeaned only,STEP03 preprocessing policy,True
td_clearance_factor,time,source_and_target,clearance factor,max(|x|)/(mean(sqrt(|x|))^2+eps),dimensionless,eps=1e-12 where denominator exists,raise on non-finite raw signal,x is demeaned only,STEP03 preprocessing policy,True
td_zero_cross_rate,time,source_and_target,fraction of adjacent samples with sign change,mean(signbit(x[t]) != signbit(x[t-1])),dimensionless,eps=1e-12 where denominator exists,raise on non-finite raw signal,x is demeaned only,STEP03 preprocessing policy,True
fd_dominant_hz_0_6k,frequency,source_and_target,frequency of maximum Welch PSD in 0-6 kHz,argmax_f Pxx(f),Hz,eps=1e-12 for total energy/sums,0 if empty band; raw signal non-finite raises,"Welch nperseg=min(4096,N), 50% internal Welch overlap; common band <=6 kHz",common frequency support under M1/M2 protocol; deterministic,True
fd_centroid_hz_0_6k,frequency,source_and_target,PSD spectral centroid in 0-6 kHz,sum(f*P)/sum(P),Hz,eps=1e-12 for total energy/sums,0 if empty band; raw signal non-finite raises,"Welch nperseg=min(4096,N), 50% internal Welch overlap; common band <=6 kHz",common frequency support under M1/M2 protocol; deterministic,True
