item_id,timestamp_utc,step_id,item_type,severity,claim_or_problem,evidence_status,evidence_refs,owner_status,resolution,affects_steps,opened_run_id,closed_run_id,notes
P0-00D-001,2026-09-19T15:43:00Z,00-D,source_availability,P0,官方Word模板原始文件当前不可读取,resolved,template_sha256:2381f21f0ae471c0ddfff96f45feac4abc18c8dc4178b3f68a291803785dd11a; word_sha256:eb4a5f0aadc03c7a96ae626f2288378773172d048c672ed74dd74fc3b127da55; run_id:run_00-D_20260919T154254724640Z_201f7b70_2bed85de,closed,用户已上传原始模板；完成真实读取、复制清理、渲染与结构验收,00-D;01-A,,run_00-D_20260919T154254724640Z_201f7b70_2bed85de,此前阻塞已关闭
EVID-01B-001,2026-09-19T16:11:01.132580Z,01-B,writeback_validation,P1,V0.2数据说明与01-A冻结结果一致，且未将目标域未知真值改写为已知,verified,run_id:run_01-B_20260919T161101132580Z_f5b4c3cb_d2885e53; validation:/数学建模/01B/validation_record_01B.json; word_sha256:6267e3715abb3243a49ace14339475b4f28b6d476d66a1b7ef3f8953a263d795,closed,逐项核对177=161+16、OR/IR/B/N=77/40/40/4、目标256000点@32kHz=8s、A-P未知真值、独立样本=file,01-B;02-A,run_01-B_20260919T161101132580Z_f5b4c3cb_d2885e53,run_01-B_20260919T161101132580Z_f5b4c3cb_d2885e53,无阻塞问题
EVID-02B-001,2026-09-19T16:31:46.907490Z,02-B,writeback_validation,P1,V0.3中源域筛选理由、数量、限制和内部可比性指标与02-A冻结包一致,verified,run_id:run_02-B_20260919T163146907490Z_594b5a82_6db67e3f; validation:/数学建模/02B/validation_record_02B.json; word_sha256:f960cde0421d35b42232f25c06f09e8977a9cd7d5c6d81818c06d4a78303a7de; fig_sha256:a3fe08476587a17b662873d66162e4dd6ff1cc22338a722f8c81cc4fadee706b,closed,核对MVP=49、替代=109、OR/IR/B/N=21/12/12/4与49/28/28/4、留一载荷4/4；内部距离明确非官方评分；目标真值保持未知,02-B;03-A,run_02-B_20260919T163146907490Z_594b5a82_6db67e3f,run_02-B_20260919T163146907490Z_594b5a82_6db67e3f,13页实际渲染逐页检查；图片对象4→5，drawing 3→4，无异常减少
EVID-03B-001,2026-09-19T17:25:39Z,03-B,writeback_validation,P1,V0.4中预处理、轴承机理公式/参数、典型与困难样本及证据边界与03-A冻结包一致,verified,run_id:run_03-B_20260919T172539034521Z_69947ed7_6f3e2e9b; validation:/数学建模/03B/validation_record_03B.json; word_sha256:ddc7abf1e63a1ef9de26f7be23830a80c07cdc7795317cd1a1fbdab32a23b4ef; fig2_sha256:c7ffa98d6070192df215a9563db7e1494681c5c975fcb695a100fe602bf7cf19; fig3_sha256:0ee38447fb07643fc7ed7e3e6e841d401f2c21408ea1268bc8057d831f77e82b,closed,核对49/49去均值、0/49去趋势、4个N重采样、8个固定样本、SKF6203/6205参数及保真范围；理论峰不写成类别证明,03-B;04-A,run_03-B_20260919T172539034521Z_69947ed7_6f3e2e9b,run_03-B_20260919T172539034521Z_69947ed7_6f3e2e9b,16页最终渲染逐页检查；既有图片字节全部保留，media 5→7，drawing 4→6，无异常减少
EVID-04B-001,2026-09-19T18:45:20Z,04-B,writeback_validation,P1,V0.5中窗口规则、特征定义/单位、质量审计、问题2接口和问题一小结与04-A冻结结果一致,verified,run_id:run_04-B_20260919T184520000000Z_48bbc0c6_dfbb5d0e; validation:/数学建模/04B/validation_record_04B.json; word_sha256:dfbb5d0ed45b47ef30d0336d273e2d425d5d43f57e24f2a9246ce8da9e68feee; source_A:FREEZE-04A-3e3b97c0,closed,核对1s/50%、49→733、16→240、公共特征26、机理辅助5、NaN/Inf=0、常数=0、group_id文件级边界、默认X无标签/文件编码/RPM等泄漏列；04-A未冻结相关性矩阵，因此不制作未冻结热力图,04-B;05-A,run_04-B_20260919T184520000000Z_48bbc0c6_dfbb5d0e,run_04-B_20260919T184520000000Z_48bbc0c6_dfbb5d0e,19页最终渲染逐页检查；既有media 7→7、drawing 6→6、公式5→5，全部原图片字节保留；表格10→14
EVID-05B-001,2026-09-19T19:50:06Z,05-B,writeback_validation,P1,V0.6中独立对象边界、4外层×3内层协议、N类4文件处理、文件级Macro-F1与测试集封闭均与05-A冻结协议一致,verified,run_id:run_05-B_20260919T195006000000Z_338d8e27_f1131a5f; validation:/数学建模/05B/validation_record_05B.json; word_sha256:f1131a5f160bf53821d87e88be611b93f26f916d5941596bc58387f26bcf3026; source_A:FREEZE-05A-ba6432cf,closed,核对49独立文件/733窗口、OR/IR/B/N=21/12/12/4、每外层测试1个N、每内层验证1个N；无协议图，表格边界与05-A manifest交叉检查为0；未写入任何尚未产生的模型成绩,05-B;06-A,run_05-B_20260919T195006000000Z_338d8e27_f1131a5f,run_05-B_20260919T195006000000Z_338d8e27_f1131a5f,最终渲染21页逐页检查；media 7→7、drawing 6→6、公式5→5、表格14→16；既有媒体字节与官方母版核心包保持
EVID-06B-001,2026-09-20T04:22:58Z,06-B,writeback_validation,P1,V0.7中的Macro-F1、逐类指标、文件级混淆矩阵与误判案例均来自06-A当前运行且口径未混用,verified,run_id:run_06-B_20260920T042258000000Z_e55b0303_0e671b79; validation:/数学建模/06B/validation_record_06B.json; word_sha256:0e671b79e603713d3c3a9924cfc8ad41de52f329a7b89166ddfe7a8ffae0b650; source_A:FREEZE-06A-01576948; fig4:e17545a7...; fig5:2dfe7b87...; fig6:75c7bbf5...,closed,"核对4折文件Macro-F1=0.4464/1.0000/0.8095/0.9273、OOF文件Macro-F1=0.818452、Accuracy=0.795918、OR/IR/B/N Recall=0.714286/0.75/1/0.75、混淆矩阵[[15,6,0,0],[3,9,0,0],[0,0,12,0],[1,0,0,3]]；IR007_0与N_0为本轮真实误判；窗口指标仅辅助",06-B;07-A,run_06-B_20260920T042258000000Z_e55b0303_0e671b79,run_06-B_20260920T042258000000Z_e55b0303_0e671b79,最终24页渲染检查通过；表16-18自动编号重复曾被发现并修复；media 7→10、drawing 6→9、公式5→5、表格16→19；既有媒体字节保持
EVID-06B-PATCH-001,2026-09-20T05:00:00Z,06-B,visual_patch_validation,P1,V0.7.1仅优化06-B误判案例可视化，所有模型结果与06-A冻结结果保持不变,verified,word_sha256:317ed7ab475dc6f5e7cb784b6ff769760d76ad98fb760a98d7750731d1033c96; source_A:FREEZE-06A-01576948; fig5_sha256:ad72b89a06bf750f4a7e2e2a9298d6f03a8e454973b1849b0b875949437b8b0d; fig6_sha256:d86babfd70978db4e7b853c124f00c2091c123d6309b223043ac90437a657ad7; source:06-A oof_window_predictions.csv + 04-A source_window_metadata.csv,closed,IR007_0：15窗中14窗判OR、仅4.5s起始窗口判IR，OR/IR均值0.7137/0.2862；N_0：9/9窗口判OR，OR窗分数0.965–0.992、N窗分数0.005–0.032；未改动Macro-F1、混淆矩阵、表16-18,06-B;07-A,run_06-B_20260920T042258000000Z_e55b0303_0e671b79,run_06-B_20260920T042258000000Z_e55b0303_0e671b79,新旧Word均24页；1-19与23-24渲染像素一致，仅20-22页变化；media/drawing/table/math/section计数均不变；00-D母版核心包完全一致
EVID-07B-001,2026-09-20T05:50:01Z,07-B,writeback_validation,P1,V0.8中的Base-Final对照、H2消融失败、最终模型/参数/26维接口与07-A冻结结果一致,verified,run_id:run_07-B_20260920T055001000000Z_7e8829fb_1d19b9ed; validation:protocol/07B/validation_record.json; word_sha256:1d19b9ed8f2cbaa21a756045ae7975561ab98494c64ee0480e604f3134d6a645; source_A:FREEZE-07A-7e8829fb; fig7:52bb9966baafc5a4ca4786e2c1511fbf5772885315bd684e29cf676cc96811f2; fig8:ca8c0129b2db61f2c042f4cb6390a08edace539480fc5c2582a0cb6038f8d24d,closed,逐项核对四折配对、12内层消融、Final OOF、复杂度与Q3接口；保留Fold1退化和H2 no_gain_stop；无重新训练/调参,07-B;08-A,run_07-B_20260920T055001000000Z_7e8829fb_1d19b9ed,run_07-B_20260920T055001000000Z_7e8829fb_1d19b9ed,最终28页渲染逐页检查；media 10→12、drawing 9→11、公式5→5、表格19→20、sections 6→6；Library回取SHA与本地一致
EVID-08B-001,2026-09-20T06:29:14Z,08-B,writeback_validation,P1,V0.9中的域差异、A-P无迁移预测、模拟目标域与迁移使用边界均与08-A冻结结果一致,verified,run_id:run_08-B_20260920T062914179544Z_8cd7401f_28dc6d43; validation:protocol/08B/validation_record.json; word_sha256:28dc6d439bc3e3cb18dbf866b109b817d0217ec0f9d522e5ebe36a8451341f08; source_A:FREEZE-08A-8cd7401f; fig9:033e834f76e0346e98778ba663003a308a40328fbd3735de53e3b17ac5d9a90c,closed,核对A-P真值unknown且不报Accuracy/F1/Recall；图9仅表达特征族偏移；MMD2=0.792223、域AUC=1.0、16/16目标文件位于最近源类P95半径外；载荷0/1/2调参、载荷3留出；T1 α=0.25且留出Δ=0,08-B;09-A,run_08-B_20260920T062914179544Z_8cd7401f_28dc6d43,run_08-B_20260920T062914179544Z_8cd7401f_28dc6d43,V0.9最终30页；1-24页与V0.8像素一致；media 12→13、drawing 11→12、公式5→5、表格20→22、sections 6→6；Library回取SHA一致
