figure_no,figure_id,section,title_cn,page,doc_rel_id,doc_media_name,embedded_sha256,source_png_sha256,byte_exact_match,caption_text,caption_exact_match,caption_style,caption_style_match,pre_text_present,post_text_present,render_visible_checked,status
图1,FIG-Q1-01,5.1标题下、5.1.1前,问题一数据处理与特征构建技术框架,9,rId52,word/media/image30.png,ab1550ef315c4b3977d0bfa941f5264055d7b860c13040a408ae374d0c778922,ab1550ef315c4b3977d0bfa941f5264055d7b860c13040a408ae374d0c778922,True,图1 问题一数据处理与特征构建技术框架,True,a1,True,True,True,True,passed
图2,FIG-Q1-02,5.1.2（1）原始信号与典型/困难样本,B类典型与困难样本的时域波形对照,11,rId42,word/media/image20.png,75ed65c551d076d82ecf16c4acab73438e6082bc2a2fac41ae0219429f30ad12,75ed65c551d076d82ecf16c4acab73438e6082bc2a2fac41ae0219429f30ad12,True,图2 B类典型与困难样本的时域波形对照,True,a1,True,True,True,True,passed
图3,FIG-Q1-03,5.1.2（4）频域、包络与故障机理证据,B类困难样本的功率谱与包络谱,13,rId43,word/media/image21.png,e6c834028682c78d627872d19d9a93833f549c766509d405964ce65f52079ec9,e6c834028682c78d627872d19d9a93833f549c766509d405964ce65f52079ec9,True,图3 B类困难样本的功率谱与包络谱,True,a1,True,True,True,True,passed
图4,FIG-Q2-01,5.2标题下、5.2.1前,问题二源域故障诊断技术框架,17,rId53,word/media/image31.png,671f6363c51aed6cf0dd63257df5a0cb7f3eeb5c949ac9f836f971735f364ba1,671f6363c51aed6cf0dd63257df5a0cb7f3eeb5c949ac9f836f971735f364ba1,True,图4 问题二源域故障诊断技术框架,True,a1,True,True,True,True,passed
图5,FIG-Q2-02,5.2.2（2）基线结果,49个独立源域文件的OOF文件级混淆矩阵,21,rId44,word/media/image22.png,89700e30718f2b90f1680498ce9d70385a59b26e7191eb738682f9d560b330da,89700e30718f2b90f1680498ce9d70385a59b26e7191eb738682f9d560b330da,True,图5 49个独立源域文件的OOF文件级混淆矩阵,True,a1,True,True,True,True,passed
图6,FIG-Q2-04,5.2.2（3）误判与困难案例,典型误判文件的窗口级模型分数演化,22,rId45,word/media/image23.png,effca46528c0498edae0a128c4ae8085bea794eb7580675c917637fed793faf5,effca46528c0498edae0a128c4ae8085bea794eb7580675c917637fed793faf5,True,图6 典型误判文件的窗口级模型分数演化,True,a1,True,True,True,True,passed
图7,FIG-Q2-03,5.2.3（2）改进效果,Base与最终RF在四个冻结外层折上的文件级Macro-F1配对对照,23,rId46,word/media/image24.png,72f55d0728a5c6a07a984459f209595717540bc264ad54f77da67f799a846650,72f55d0728a5c6a07a984459f209595717540bc264ad54f77da67f799a846650,True,图7 Base与最终RF在四个冻结外层折上的文件级Macro-F1配对对照,True,a1,True,True,True,True,passed
图8,FIG-Q3-01,5.3标题下、5.3.1前,问题三无监督迁移与目标域诊断技术框架,26,rId54,word/media/image32.png,6abadfdb91ac3adbe38e4a65f447f58eb58cb29148731cfbb890f1c0304044b9,6abadfdb91ac3adbe38e4a65f447f58eb58cb29148731cfbb890f1c0304044b9,True,图8 问题三无监督迁移与目标域诊断技术框架,True,a1,True,True,True,True,passed
图9,FIG-Q3-02,5.3.1（2）特征分布、模型输出与类条件结构,源—目标偏移最显著的8个公共特征,27,rId47,word/media/image25.png,458cdc1426887b554befa3b1948795eb0dd345a43df95434194ec55619707f1c,458cdc1426887b554befa3b1948795eb0dd345a43df95434194ec55619707f1c,True,图9 源—目标偏移最显著的8个公共特征,True,a1,True,True,True,True,passed
图10,FIG-Q3-03,5.3.4（3）迁移效果与失败候选,多模拟目标域上的无迁移—候选迁移对照,30,rId48,word/media/image26.png,8aa269589ade5f3abc62d94f8f4cb0eb2eeff2992a0ef9101246ea944e456cd1,8aa269589ade5f3abc62d94f8f4cb0eb2eeff2992a0ef9101246ea944e456cd1,True,图10 多模拟目标域上的无迁移—候选迁移对照,True,a1,True,True,True,True,passed
