figure_id,section,purpose,original_sources,source_run_ids,snapshot_files,snapshot_sha256,renderer_entry,pre_sentence,post_conclusion
FIG-Q1-01,5.1标题下、5.1.1前,说明源域筛选、统一时基、切片、公共特征及问题二接口的连续数据流。,outputs/runs/run_13-A1_20260920T171911944243Z_23a7d455_0eedc9bc/artifacts/core_numbers_master.csv,run_13-A1_20260920T171911944243Z_23a7d455_0eedc9bc,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q1-01.json,c904087e880061e06ba486bd1e10c145ce7be6d1f196255a92b375110433b93c,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q1-01,问题一先统一源—目标数据口径，再完成物理时间切片与跨域兼容特征构建，整体流程如下。,该流程把独立文件边界贯穿到窗口与特征接口，避免后续模型阶段发生同源窗口泄漏。
FIG-Q1-02,5.1.2（1）原始信号与典型/困难样本,展示困难样本未被删除，并说明仅凭局部冲击外观不足以完成类别判定。,outputs/runs/run_03-A_20260919T164527811276Z_71ebe710_f5307f8f/artifacts/representative_waveform_segments.csv,run_03-A_20260919T164527811276Z_71ebe710_f5307f8f,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q1-02.csv,caf45dbe0dc74d3d5f16c3d60426130ccb2aacf95f99c5ebe72ee6a477c2595b,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q1-02,按冻结规则选取B类典型样本与机理证据最弱的困难样本，在相同预处理口径下比较其前0.12 s波形。,困难样本仍呈非平稳冲击与幅值波动，且完整保留进入后续建模，因此图示不构成挑选“漂亮样本”的证据。
FIG-Q1-03,5.1.2（4）频域、包络与故障机理证据,用同一困难样本对照主信号功率谱与Hilbert包络谱，并标记BSF相关频率。,outputs/runs/run_03-A_20260919T164527811276Z_71ebe710_f5307f8f/artifacts/representative_psd.csv;outputs/runs/run_03-A_20260919T164527811276Z_71ebe710_f5307f8f/artifacts/representative_envelope_psd.csv;outputs/runs/run_03-A_20260919T164527811276Z_71ebe710_f5307f8f/artifacts/file_mechanism_frequencies.csv,run_03-A_20260919T164527811276Z_71ebe710_f5307f8f,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q1-03.csv;outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q1-03_markers.csv,15b4fbc36921427211f5715bfdf33eaa58c37638cfa68c41d1beb5f790e72624;2607e031bd2c70ed332cb4242a9e4978717540ae0429bbba9ef73fc1fa4843b5,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q1-03,对困难样本B014_2.mat进一步比较主信号功率谱与无额外带通的Hilbert包络谱。,理论频率附近的谱能量只能作为与滚动体故障机理一致的旁证，不能由单一谱峰直接证明类别。
FIG-Q2-01,5.2标题下、5.2.1前,说明文件级分组、基线、单因素改进、正交压力测试及最终模型冻结的关系。,outputs/runs/run_13-A1_20260920T171911944243Z_23a7d455_0eedc9bc/artifacts/core_numbers_master.csv,run_13-A1_20260920T171911944243Z_23a7d455_0eedc9bc,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q2-01.json,d82e2fe33f4a07cca7830cd2d9d465fc29d80c4fbc3002a40afa831e96668d8c,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q2-01,问题二始终以原始MAT文件为独立单位，在统一评价协议下由基线失败驱动模型改进与最终定型。,模型改进与验证共享同一文件级边界，最终H1_RF在冻结后再接受跨载荷压力测试。
FIG-Q2-02,5.2.2（2）基线结果,展示基线的OR/IR混淆及N类小样本误判结构。,outputs/runs/run_06-A_20260920T035742210347Z_b83cb3a6_01576948/artifacts/pooled_file_confusion_matrix.csv,run_06-A_20260920T035742210347Z_b83cb3a6_01576948,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q2-02.csv,603318ebcedad4756ac7969bc49cbaec9d2089677cbd2739fa28e6e2ce98848d,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q2-02,按四个外层留出折汇总49个独立文件的OOF预测，得到如下文件级混淆矩阵。,主要错误集中在OR与IR互混，且4个N文件中有1个被判为OR，后续改进必须针对文件级失败而非窗口级高分。
FIG-Q2-03,5.2.3（2）改进效果,逐折展示H1_RF相对Base的改进，同时保留Fold 1退化反例。,outputs/runs/run_07-A_20260920T051657629377Z_59d5a6dd_7e8829fb/artifacts/Base_vs_H1_paired_outer.csv,run_07-A_20260920T051657629377Z_59d5a6dd_7e8829fb,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q2-03.csv,6af34b96e602cb18fe7fc021dedbb4b0a4ffb5f1de41107c1612307f48d23ab0,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q2-03,H1通过内层门槛后，仅在与Base相同的四个冻结外层测试折上做一次性配对评价。,四折中3折不低于Base，但Fold 1出现−0.0635退化，因此不作“每折均优于”或统计显著表述。
FIG-Q2-04,5.2.2（3）误判与困难案例,对照IR007_0.mat与N_0.mat两个真实失败文件，说明误判并非单窗口偶然噪声。,outputs/runs/run_06-A_20260920T035742210347Z_b83cb3a6_01576948/artifacts/oof_window_predictions.csv;outputs/runs/run_04-A_20260919T182731095541Z_8ac2c328_3e3b97c0/artifacts/window_index.csv,run_04-A_20260919T182731095541Z_8ac2c328_3e3b97c0;run_06-A_20260920T035742210347Z_b83cb3a6_01576948,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q2-04.csv,0b595f4463ff290996f0ef8734a21a7f934efd2d47fc8fd6992a9e1da234c6ea,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q2-04,为检查错误是否由单个异常窗口造成，选取冻结的IR→OR与N→OR代表误判文件追踪全部窗口模型分数。,两个案例的错误均跨多数或全部窗口持续存在，表明当前公共特征/边界上存在稳定的文件级误判模式。
FIG-Q3-01,5.3标题下、5.3.1前,说明域差异诊断、模拟目标域选模、T1冻结、真实A—P传导式适配及稳健性复核接口。,outputs/runs/run_13-A1_20260920T171911944243Z_23a7d455_0eedc9bc/artifacts/core_numbers_master.csv,run_13-A1_20260920T171911944243Z_23a7d455_0eedc9bc,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q3-01.json,1718c6c3b9747a1c512ac6fef595ab28e93f374ffbcdca30a9b26b6cc74a89d0,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q3-01,问题三先诊断域偏移，再用可评价的模拟目标域冻结迁移方案，最后对真实A—P执行无标签传导式适配。,真实目标标签始终不进入适配或选模，A—P结果只能作为冻结模型输出并需逐文件报告稳定性。
FIG-Q3-02,5.3.1（2）特征分布、模型输出与类条件结构,展示域差异首先集中在幅值/尺度特征，并伴随频谱结构偏移。,outputs/runs/run_08-A_20260920T060936354760Z_049c8ddb_8cd7401f/artifacts/feature_shift_file_level.csv,run_08-A_20260920T060936354760Z_049c8ddb_8cd7401f,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q3-02.csv,afdaad4a92be5ea787863211b8408a567dd76cf9e789d4be10f81ff67410cd9e,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q3-02,以独立文件的26维公共特征均值为单位，按标准化绝对均值偏移排序取前8项。,前六项均为幅值/尺度相关量，而频谱平坦度与中频带能量比仍有明显偏移，说明统一采样网格并未消除域差异。
FIG-Q3-03,5.3.4（3）迁移效果与失败候选,比较A0、T1、T2、T3在调参模拟域及冻结T1在载荷3留出域的文件级Macro-F1。,outputs/runs/run_09-A_20260920T070725126712Z_6ef81c21_26f99878/artifacts/tuning_metrics_loads0_1_2.csv;outputs/runs/run_09-A_20260920T070725126712Z_6ef81c21_26f99878/artifacts/held_load3_primary_metrics.csv,run_09-A_20260920T070725126712Z_6ef81c21_26f99878,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q3-03.csv,8fcfceb89a874f0fdc290c01917bcc82452f5f3c0a32ce24f7fdf00bd6dd74cc,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q3-03,在主随机种子下，以相同模拟目标域和文件级评价口径比较无迁移与三类候选迁移方法。,T1与A0在载荷0—3均持平，T2在调参域出现明显负迁移；因此留出域只支持“未退化”，不支持“迁移提高真实目标准确率”。
FIG-Q3-04,5.3.5（3）低可信案例与机理旁证,逐文件展示正式标签对源文件组成的敏感性，并显式标记目标留一时发生翻转的D。,outputs/runs/run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa/artifacts/A2_05_source_bootstrap_summary.csv;outputs/runs/run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa/artifacts/A2_04_target_LOTO_stability.csv,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q3-04.csv,65902ba78150b0a7211e8a7cc79a7b00f47c57f110c26b8e6985d76c68a41dc9,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q3-04,在不改正式标签的前提下，进一步用源文件分层Bootstrap与目标文件留一矩估计检查A—P决策边界。,最低保持率出现在D（0.3833），且D在目标留一时由OR翻为B；因此不能把A—P整体概括为稳定可靠。
FIG-Q4-01,5.4标题下、5.4.1前,说明T1适配输入、冻结RF、特征遮蔽、文件级贡献与三类验证之间的关系。,outputs/runs/run_13-A1_20260920T171911944243Z_23a7d455_0eedc9bc/artifacts/core_numbers_master.csv,run_13-A1_20260920T171911944243Z_23a7d455_0eedc9bc,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q4-01.json,b493431efb54d34f2eb0ecc2a571f6ef65a67ff718c99e8e937dbdbbb5e68d69,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q4-01,问题四只解释步骤09/10的最终真实链路，并用同一模型、同一参考值验证解释的忠实性与稳定性。,解释对象始终绑定最终T1+RF链路，解释值只描述模型响应，不升级为物理因果或目标真值。
FIG-Q4-02,5.4.3 源域已知标签解释案例,展示四类源域代表及历史困难样本的主要模型响应来源。,outputs/runs/run_11-A_20260920T151947188398Z_54a3c266_1f812c22/artifacts/file_feature_contributions.csv,run_11-A_20260920T151947188398Z_54a3c266_1f812c22,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q4-02.csv,737f23ac7e90802341a6ed6680b25dd6624917dfbc65dd0fe1d81b1445c283d2,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q4-02,对五个预先冻结的源域案例，按单特征遮蔽后的文件级解释类分数下降排序取Top-5。,不同类别依赖的特征结构不同，且历史困难样本继续保留；贡献排序不能被写成因果效应。
FIG-Q4-03,5.4.4 目标域预测解释,展示稳定预测H/O与不确定案例D/N的主要模型响应来源。,outputs/runs/run_11-A_20260920T151947188398Z_54a3c266_1f812c22/artifacts/file_feature_contributions.csv,run_11-A_20260920T151947188398Z_54a3c266_1f812c22,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q4-03.csv,7c0c7c3202f25924cecd6d99b9b7fb69563f6f011502093c9c289eb0a63c660e,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q4-03,目标域案例仅依据冻结预测稳定性选择，不读取未知真值，并使用与源域相同的遮蔽口径。,D、N即使局部解释排序稳定，其文件级预测仍可能对适配口径或数据组成敏感，解释不能把不稳定预测“解释成正确”。
FIG-Q4-04,5.4.5 解释验证与矛盾案例,逐案例比较Top-5、Low-5与随机5特征null中位数，验证解释不是任意特征集合都可复制。,outputs/runs/run_11-A_20260920T151947188398Z_54a3c266_1f812c22/artifacts/faithfulness_ablation.csv,run_11-A_20260920T151947188398Z_54a3c266_1f812c22,outputs/runs/run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc/artifacts/figure_sources/FIG-Q4-04.csv,f686e92d00002231b80e0a8b2cbd349789d14fae63e43d0446fe7adf93261afb,python scripts/step13a2_figure_renderer.py --run-id run_13-A2_20260920T174314251414Z_90264cb7_0eedc9bc --figure-id FIG-Q4-04,九个案例在同一最终模型与参考值下，将Top-5联合遮蔽与Low-5及200组随机5特征子集作对照。,9/9案例通过预冻结忠实性规则，Top-5下降整体高于低贡献与随机对照；该结果验证模型响应忠实性而非物理因果。
