figure_id,title_cn,caption_draft_cn
FIG-Q1-01,问题一数据处理与特征构建技术框架,问题一数据处理与特征构建技术框架。样本口径：源域49文件、目标域16文件；733/240窗口；26维公共特征；单位：文件/窗口/特征维数。输入→核心模块→输出/接口；不展示装饰性状态框。
FIG-Q1-02,B类典型与困难样本的时域波形对照,B类典型与困难样本的时域波形对照。样本口径：B021_3.mat与B014_2.mat，primary_processed，0—0.12 s；单位：时间/s；原始幅值单位。同类典型—困难样本，统一纵轴。
FIG-Q1-03,B类困难样本的功率谱与包络谱,B类困难样本的功率谱与包络谱。样本口径：B014_2.mat；0—500 Hz；主信号PSD与包络PSD；单位：频率/Hz；功率谱密度。允许(a)(b)，因为同一对象、同一序列的强关联对照。
FIG-Q2-01,问题二源域故障诊断技术框架,问题二源域故障诊断技术框架。样本口径：49个独立源文件；26维公共特征；4外层×3内层分组；固定H1_RF；单位：文件；Macro-F1；树/深度。输入→分组验证→基线/改进→冻结模型→正交验证。
FIG-Q2-02,49个独立源域文件的OOF文件级混淆矩阵,49个独立源域文件的OOF文件级混淆矩阵。样本口径：49个独立源域文件OOF预测；单位：文件数。固定类序OR、IR、B、N；整数标注。
FIG-Q2-03,Base与最终RF在四个冻结外层折上的文件级Macro-F1配对对照,Base与最终RF在四个冻结外层折上的文件级Macro-F1配对对照。样本口径：4个冻结外层折；Base LR与H1_RF；单位：Macro-F1。保留负向配对线。
FIG-Q2-04,典型误判文件的窗口级模型分数演化,典型误判文件的窗口级模型分数演化。样本口径：IR007_0.mat全部15窗；N_0.mat全部9窗；单位：窗口起始时间/s；未校准模型分数。允许(a)(b)，因为同一基线实验、同一失败分析口径。
FIG-Q3-01,问题三无监督迁移与目标域诊断技术框架,问题三无监督迁移与目标域诊断技术框架。样本口径：49源文件、16目标文件；T1 α=0.25；A—P 16文件；单位：MMD²；Macro-F1；标签保持率。突出模拟域与真实无标签目标域之间的隔离。
FIG-Q3-02,源—目标偏移最显著的8个公共特征,源—目标偏移最显著的8个公共特征。样本口径：49个源文件均值与16个目标文件均值；26维公共特征中前8项；单位：标准化绝对均值偏移/源域标准差。不把MMD/AUC或该偏移解释为目标准确率。
FIG-Q3-03,多模拟目标域上的无迁移—候选迁移对照,多模拟目标域上的无迁移—候选迁移对照。样本口径：载荷0/1/2调参域；载荷3一次性留出验证；seed=20260919；单位：文件级 Macro-F1。T2/T3只画其实际被评价的载荷，禁止外推到载荷3。
FIG-Q3-04,A—P源文件Bootstrap标签保持率与目标留一翻转,A—P源文件Bootstrap标签保持率与目标留一翻转。样本口径：16个目标文件×120次源文件Bootstrap；逐文件目标留一；单位：标签保持率。固定纵轴0—1；困难文件不得隐藏。
FIG-Q4-01,问题四最终诊断链路的可解释性技术框架,问题四最终诊断链路的可解释性技术框架。样本口径：最终T1(α=0.25)+H1_RF；26维公共特征；9个冻结解释案例；单位：模型分数下降；Spearman；Jaccard。输入→遮蔽解释→案例→忠实性/稳定性/机理旁证。
FIG-Q4-02,源域已知标签案例的Top-5单特征遮蔽贡献,源域已知标签案例的Top-5单特征遮蔽贡献。样本口径：4个源域正确代表+1个历史OOF困难案例；每例Top-5；单位：未校准模型分数下降。按案例分组排列，不做卡片式小面板。
FIG-Q4-03,目标域预测案例的Top-5单特征遮蔽贡献,目标域预测案例的Top-5单特征遮蔽贡献。样本口径：H、O、D、N四个目标预测案例；每例Top-5；单位：未校准模型分数下降。明确标注“预测类别”，不写真实故障类别。
FIG-Q4-04,高贡献遮蔽与低贡献/随机对照的忠实性验证,高贡献遮蔽与低贡献/随机对照的忠实性验证。样本口径：9个解释案例；每例200组随机5特征null；单位：未校准模型分数下降。保留负Low-5值，横轴允许跨0。
