claim_id,question,major_conclusion,data_evidence,model_evidence,result_evidence,evidence_path,remaining_gap,status
Q1-C1,Q1,源域MVP由12kHz FE故障组+4个正常文件构成，共49个独立文件；选择使用目标无标签数据仅作组级可比性。,02-A source/target comparability,subgroup ranking,source_12khz_fe四次leave-one-load均排名第一；MVP=49 files,protocol/02A/latest_freeze_package.json,P1:需比较alternative/all-source方案对后续核心结果的敏感性,SUPPORTED_WITH_GAP
Q1-C2,Q1,48kHz正常文件重采样到12kHz时，0–6kHz公共频带信息保持率最低约0.9944。,03-A preprocessing fidelity,anti-alias FIR + matched-resolution Welch,common_band_ratio_min=0.9944328351,protocol/03A/latest_freeze_package.json,无关键缺口,SUPPORTED
Q1-C3,Q1,最终Q2接口为1s窗口、50%重叠、26个目标兼容确定性特征；733源窗口、240目标窗口；未全局拟合学习型预处理。,04-A feature interface,deterministic feature extraction,49 source groups/16 target groups; 26 features; fit_boundary=no learned preprocessing,outputs/runs/run_04-A_20260919T182731095541Z_8ac2c328_3e3b97c0/artifacts/data_interface_manifest.json,P1:窗口长度/重叠敏感性在04-A明确延期到STEP12,SUPPORTED_WITH_GAP
Q2-C1,Q2,分类评价以独立文件为分组，4 outer×3 inner；相同文件的重叠窗口不跨训练/验证/测试集合。,05-A split protocol,grouped nested CV,4 outer folds; 49 files; group intersections=0,outputs/runs/run_05-A_20260919T192338074034Z_f82972c7_ba6432cf/artifacts/outer_split_manifest.csv,无关键缺口,SUPPORTED
Q2-C2,Q2,LR基线文件级OOF Macro-F1约0.81845，主要失败为OR↔IR混淆和1个N→OR。,06-A baseline,nested grouped multinomial LR,Macro-F1=0.818452; accuracy=0.795918; errors=10,outputs/runs/run_06-A_20260920T035742210347Z_b83cb3a6_01576948/artifacts/oof_file_predictions.csv,无；作为基线证据,SUPPORTED
Q2-C3,Q2,H1_RF相对Base在四个冻结outer折上多数折改善，汇总OOF Macro-F1=0.9675；逐类Recall OR/IR/B/N=0.9048/1/1/1。,07-A final model,H1_RF 300 trees,"fold deltas=[0.4951,-0.0635,0.1905,0.0727]; pooled Macro-F1=0.9675",outputs/runs/run_07-A_20260920T051657629377Z_59d5a6dd_7e8829fb/artifacts/step07A_summary.json,P0:outer test参与最终家族接受，0.9675不能视为完全未参与选择的独立终测,SUPPORTED_BUT_SELECTION_BIASED
Q3-C1,Q3,源—目标域差异显著，MMD2约0.7922，域分类AUC=1.0，16/16目标文件位于最近源类P95半径外。,08-A domain diagnosis,file-level domain diagnostics,MMD2=0.792223; AUC=1.0; outside_fraction=1,protocol/08A/latest_freeze_package.json,域差异指标不是分类准确率,SUPPORTED
Q3-C2,Q3,无迁移A-P预测为B=10、OR=6；T1(alpha=0.25)经伪目标载荷0/1/2选择、载荷3一次留出验证，无正增益也无退化。,08-A/09-A transfer selection,T1 shrink-moment,held load3 A0/T1 Macro-F1=1/1; delta=0,protocol/09A/latest_freeze_package.json,P2:伪目标载荷不能代表真实传感器/RPM/路径差异,SUPPORTED_WITH_LIMIT
Q3-C3,Q3,最终A-P为OR=8、B=8，C/D由B→OR；目标真值未知，13/16被标为低可信。,10-A final inference,frozen T1→RF + mean-score aggregation,16/16; OR/B=8/8; min 9-setting agreement=0.3333; min bootstrap=0.6567,protocol/10A/latest_freeze_package.json,P1:需做leave-one-target-file-out目标矩估计及源样本扰动，量化传导式自影响/源样本不确定性,SUPPORTED_WITH_GAP
Q3-C4,Q3,09-A未使用伪标签自训练，源分类器被精确保留；伪域负迁移逐文件检查为49个全不变。,09-A transfer safety,unsupervised adaptation without pseudo labels,pseudo_labels_used=false; source score delta=0; degraded_files=0,protocol/09A/latest_freeze_package.json,无真实目标真值，不能验证真实目标负迁移,SUPPORTED_WITH_LIMIT
Q4-C1,Q4,解释对象确为最终T1(alpha=0.25)→冻结RF，并精确复现10-A的16/16目标标签。,11-A model identity,file/window occlusion on final pipeline input,model SHA verified; max score diff=2.22e-16; 16/16 labels match,protocol/11A/validation_record.json,无接口缺口,SUPPORTED
Q4-C2,Q4,解释忠实性、稳定性和随机对照均通过：Top5遮蔽下降中位0.4488；相邻窗口Spearman中位0.9762；Jaccard=1.0；随机null百分位中位1.0。,11-A explanation validation,occlusion + adjacent-window stability + random5 null,faithfulness 9/9; stability 9/9; sanity valid,protocol/11A/latest_freeze_package.json,P2:遮蔽参考值依赖源文件中位数，且工程特征解释不定位原始波形片段,SUPPORTED_WITH_LIMIT
Q4-C3,Q4,机理一致性不是因果证明；H、D等矛盾案例被保留，目标域解释不确认真值。,11-A mechanism audit,prototype-direction consistency,3 contradiction cases retained; target truth unknown,outputs/runs/run_11-A_20260920T151947188398Z_54a3c266_1f812c22/artifacts/failure_and_contradiction_cases.csv,P2:目标轴承几何/精确RPM未知，不能做精确BPFO/BPFI验证,SUPPORTED_WITH_LIMIT
